id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,A1_Functional,A2_Lint,A3_Format,A4_Explainability,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-A1-047,D1_Code,92.0,9.45,4.4736,0.000093,100.0,100.0,100.0,72.6,95.4,100.0,0.0,98.9,1,83.22
CIB-A1-048,D1_Code,87.0,9.45,3.1388,0.000065,0.0,85.0,100.0,49.5,58.3,100.0,0.0,98.9,1,60.24
CIB-A1-049,D1_Code,95.0,9.45,3.3622,0.000070,100.0,100.0,100.0,66.4,93.2,100.0,0.0,98.9,1,82.46
CIB-A1-050,D1_Code,89.0,9.45,5.2636,0.000110,100.0,90.0,100.0,39.3,83.7,100.0,0.0,98.9,1,79.13
CIB-A1-051,D1_Code,93.0,9.45,19.0114,0.000396,100.0,100.0,100.0,59.6,90.9,100.0,0.0,95.9,1,81.18
CIB-A1-052,D1_Code,94.0,9.45,4.5278,0.000094,100.0,100.0,100.0,63.5,92.2,100.0,0.0,98.9,1,82.11
CIB-A1-053,D1_Code,90.0,9.45,9.8780,0.000206,100.0,100.0,100.0,12.2,74.3,100.0,0.0,98.9,1,75.83
CIB-A1-054,D1_Code,88.0,9.45,16.2742,0.000339,100.0,95.0,100.0,26.8,78.2,100.0,0.0,97.0,1,76.92
CIB-A1-055,D1_Code,96.0,9.45,8.3616,0.000174,100.0,100.0,100.0,55.1,89.3,100.0,0.0,98.9,1,81.08
CIB-A1-056,D1_Code,85.0,9.45,12.4639,0.000260,0.0,80.0,100.0,34.7,53.2,100.0,0.0,98.5,1,58.39
CIB-A1-057,D1_Code,91.0,9.45,4.2943,0.000089,100.0,100.0,100.0,18.9,76.6,100.0,0.0,98.9,1,76.64
CIB-A1-058,D1_Code,93.0,9.45,11.4111,0.000238,100.0,100.0,100.0,47.7,86.7,100.0,0.0,98.8,1,80.16
CIB-A1-059,D1_Code,90.0,9.45,21.5877,0.000450,100.0,100.0,100.0,47.4,86.6,100.0,0.0,94.9,1,79.54
CIB-A1-060,D1_Code,85.0,9.45,4.1217,0.000086,0.0,85.0,100.0,65.7,64.0,100.0,0.0,98.9,1,61.98
CIB-A1-061,D1_Code,88.0,9.45,3.5587,0.000074,100.0,100.0,100.0,-1.3,69.5,100.0,0.0,98.9,1,74.17
CIB-A1-062,D1_Code,94.0,9.45,4.2566,0.000089,100.0,100.0,100.0,60.7,91.2,100.0,0.0,98.9,1,81.76
CIB-A1-063,D1_Code,89.0,9.45,14.6623,0.000305,0.0,90.0,100.0,55.3,60.8,100.0,0.0,97.7,1,61.08
CIB-A1-064,D1_Code,92.0,9.45,13.5929,0.000283,100.0,100.0,100.0,41.3,84.5,100.0,0.0,98.1,1,79.29
CIB-A1-065,D1_Code,97.0,9.45,5.2306,0.000109,100.0,100.0,100.0,88.9,100.0,100.0,0.0,98.9,1,84.83
CIB-A1-066,D1_Code,92.0,9.45,6.4559,0.000135,100.0,100.0,100.0,32.2,81.3,100.0,0.0,98.9,1,78.30
CIB-A1-067,D1_Code,95.0,9.45,4.1176,0.000086,100.0,100.0,100.0,73.8,95.8,100.0,0.0,98.9,1,83.38
CIB-A1-068,D1_Code,86.0,9.45,7.2913,0.000152,0.0,85.0,100.0,40.9,55.3,100.0,0.0,98.9,1,59.20
CIB-A1-069,D1_Code,96.0,9.45,4.7111,0.000098,100.0,100.0,100.0,86.7,100.0,100.0,0.0,98.9,1,84.83
CIB-A1-070,D1_Code,90.0,9.45,2.7851,0.000058,100.0,100.0,100.0,-18.2,63.6,100.0,0.0,98.9,1,72.10
CIB-A1-071,D1_Code,91.0,9.45,3.5812,0.000075,100.0,100.0,100.0,-18.2,63.6,100.0,0.0,98.9,1,72.10
CIB-A1-072,D1_Code,94.0,9.45,5.0485,0.000105,100.0,100.0,100.0,65.7,93.0,100.0,0.0,98.9,1,82.40
CIB-A1-073,D1_Code,95.0,9.45,2.3699,0.000049,100.0,100.0,100.0,66.4,93.2,100.0,0.0,98.9,1,82.47
CIB-A1-074,D1_Code,96.0,9.45,3.9292,0.000082,100.0,100.0,100.0,84.5,99.6,100.0,0.0,98.9,1,84.69
CIB-A1-075,D1_Code,90.0,9.45,7.5785,0.000158,100.0,100.0,100.0,-20.9,62.7,100.0,0.0,98.9,1,71.77
CIB-A1-076,D1_Code,98.0,9.45,8.3019,0.000173,100.0,100.0,100.0,98.5,100.0,100.0,0.0,98.9,1,84.83
CIB-A1-077,D1_Code,91.0,9.45,5.0958,0.000106,100.0,100.0,100.0,-2.2,69.2,100.0,0.0,98.9,1,74.06
CIB-A1-078,D1_Code,93.0,9.45,3.8155,0.000079,100.0,100.0,100.0,47.3,86.6,100.0,0.0,98.9,1,80.13
CIB-A1-079,D1_Code,92.0,9.45,3.0759,0.000064,100.0,100.0,100.0,15.6,75.5,100.0,0.0,98.9,1,76.25
CIB-A1-080,D1_Code,90.0,9.45,4.3056,0.000090,100.0,100.0,100.0,0.3,70.1,100.0,0.0,98.9,1,74.37
CIB-A1-081,D1_Code,94.0,9.45,3.4399,0.000072,100.0,100.0,100.0,60.7,91.2,100.0,0.0,98.9,1,81.76
CIB-A1-082,D1_Code,95.0,9.45,2.9491,0.000061,100.0,100.0,100.0,78.9,97.6,100.0,0.0,98.9,1,84.00
CIB-A1-083,D1_Code,89.0,9.45,5.8980,0.000123,100.0,100.0,100.0,9.0,73.1,100.0,0.0,98.9,1,75.43
CIB-A1-084,D1_Code,93.0,9.45,11.3333,0.000236,100.0,100.0,100.0,50.6,87.7,100.0,0.0,98.8,1,80.52
CIB-A1-085,D1_Code,87.0,9.45,3.8160,0.000080,0.0,85.0,100.0,66.1,62.6,100.0,0.0,98.9,1,61.75
CIB-A1-086,D1_Code,97.0,9.45,2.9646,0.000062,100.0,100.0,100.0,93.0,100.0,100.0,0.0,98.9,1,84.83
CIB-A1-087,D1_Code,91.0,9.45,3.9117,0.000081,100.0,100.0,100.0,-10.8,66.2,100.0,0.0,98.9,1,73.01
CIB-A1-088,D1_Code,96.0,9.45,10.6333,0.000222,100.0,100.0,100.0,92.9,100.0,100.0,0.0,98.9,1,84.83
CIB-A1-089,D1_Code,93.0,9.45,3.2101,0.000067,100.0,100.0,100.0,45.6,86.0,100.0,0.0,98.9,1,79.93
CIB-A1-090,D1_Code,90.0,9.45,6.1101,0.000127,100.0,100.0,100.0,35.9,82.6,100.0,0.0,98.9,1,78.74
CIB-A1-091,D1_Code,94.0,9.45,5.1602,0.000108,100.0,100.0,100.0,71.8,95.1,100.0,0.0,98.9,1,83.13
CIB-A1-092,D1_Code,92.0,9.45,2.7014,0.000056,100.0,100.0,100.0,38.3,83.4,100.0,0.0,98.9,1,79.03
CIB-A1-093,D1_Code,96.0,9.45,4.4842,0.000093,100.0,100.0,100.0,85.9,100.0,100.0,0.0,98.9,1,84.83
CIB-A1-094,D1_Code,94.0,9.45,9.9104,0.000206,100.0,100.0,100.0,65.2,92.8,100.0,0.0,98.9,1,82.32
CIB-A1-095,D1_Code,85.0,9.45,3.1902,0.000066,0.0,80.0,100.0,31.5,52.0,100.0,0.0,98.9,1,58.04
CIB-A1-096,D1_Code,89.0,9.45,4.5426,0.000095,100.0,100.0,100.0,22.0,77.7,100.0,0.0,98.9,1,77.03
CIB-A1-097,D1_Code,92.0,9.45,25.0728,0.000522,100.0,100.0,100.0,53.8,88.8,100.0,0.0,93.4,1,79.98
CIB-A1-098,D1_Code,88.0,9.45,2.5740,0.000054,100.0,100.0,100.0,37.4,83.1,100.0,0.0,98.9,1,78.92
CIB-A1-099,D1_Code,95.0,9.45,7.2142,0.000150,100.0,100.0,100.0,80.7,98.2,100.0,0.0,98.9,1,84.22
CIB-A1-100,D1_Code,93.0,9.45,12.8657,0.000268,100.0,100.0,100.0,59.6,90.9,100.0,0.0,98.3,1,81.60
CIB-A1-101,D1_Code,82.0,9.45,7.9616,0.000166,100.0,95.0,100.0,-35.1,56.7,100.0,0.0,98.9,1,69.69
CIB-A1-102,D1_Code,88.0,9.45,4.1440,0.000086,100.0,100.0,100.0,29.5,80.3,100.0,0.0,98.9,1,77.95
CIB-A1-103,D1_Code,95.0,9.45,6.6073,0.000138,100.0,100.0,100.0,80.2,98.1,100.0,0.0,98.9,1,84.17
CIB-A1-104,D1_Code,90.0,9.45,5.0336,0.000105,100.0,100.0,100.0,32.5,81.4,100.0,0.0,98.9,1,78.32
CIB-A1-105,D1_Code,89.0,9.45,5.0444,0.000105,100.0,100.0,100.0,26.7,79.4,100.0,0.0,98.9,1,77.62
CIB-A1-106,D1_Code,87.0,9.45,7.8184,0.000163,0.0,85.0,100.0,66.4,64.2,100.0,0.0,98.9,1,62.31
CIB-A1-107,D1_Code,88.0,9.45,3.0206,0.000063,100.0,100.0,100.0,15.6,75.5,100.0,0.0,98.9,1,76.25
CIB-A1-108,D1_Code,94.0,9.45,10.4727,0.000218,0.0,90.0,100.0,76.5,66.8,100.0,0.0,98.9,1,63.21
CIB-A1-109,D1_Code,85.0,9.45,11.9339,0.000249,0.0,85.0,100.0,27.4,50.6,100.0,0.0,98.6,1,57.50
CIB-A1-110,D1_Code,89.0,9.45,10.7243,0.000223,0.0,90.0,100.0,29.3,51.6,100.0,0.0,98.8,1,57.88
CIB-A1-111,D1_Code,93.0,9.45,3.8276,0.000080,100.0,100.0,100.0,70.7,94.7,100.0,0.0,98.9,1,82.99
