id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,B1_Leak,B2_Vuln,B3_License_Risk,B4_A11Y,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-B1-063,D2_Secu,25.0,9.45,4.9000,0.000102,0,1,0,100,0.0,0.0,0.0,91.1,0,0.00
CIB-B1-064,D2_Secu,45.0,9.45,6.7000,0.000140,0,1,0,100,0.0,0.0,0.0,87.5,0,0.00
CIB-B1-065,D2_Secu,50.0,9.45,5.4000,0.000113,0,1,0,100,0.0,0.0,0.0,90.1,0,0.00
CIB-B1-066,D2_Secu,100.0,9.45,11.5000,0.000240,0,0,0,100,0.0,100.0,0.0,78.4,1,36.76
CIB-B1-067,D2_Secu,100.0,9.45,17.8000,0.000371,0,0,0,100,0.0,100.0,0.0,66.4,1,34.96
CIB-B1-068,D2_Secu,100.0,9.45,4.2000,0.000088,0,0,0,100,0.0,100.0,0.0,92.5,1,38.87
CIB-B1-069,D2_Secu,100.0,9.45,9.1000,0.000190,0,0,0,100,0.0,100.0,0.0,83.0,1,37.44
CIB-B1-070,D2_Secu,100.0,9.45,22.1000,0.000460,0,0,0,100,0.0,100.0,0.0,58.2,1,33.74
CIB-B1-071,D2_Secu,100.0,9.45,13.4000,0.000279,0,0,0,100,0.0,100.0,0.0,74.8,1,36.21
CIB-B1-072,D2_Secu,60.0,9.45,9.5000,0.000198,0,1,0,100,0.0,0.0,0.0,82.2,0,0.00
CIB-B1-073,D2_Secu,100.0,9.45,10.2000,0.000213,0,0,0,100,0.0,100.0,0.0,80.9,1,37.13
CIB-B1-074,D2_Secu,100.0,9.45,14.6000,0.000304,0,0,0,100,0.0,100.0,0.0,72.5,1,35.87
CIB-B1-075,D2_Secu,30.0,9.45,7.1000,0.000148,0,1,0,100,0.0,0.0,0.0,86.7,0,0.00
CIB-B1-076,D2_Secu,100.0,9.45,12.2000,0.000254,0,0,0,100,0.0,100.0,0.0,77.0,1,36.56
CIB-B1-077,D2_Secu,100.0,9.45,10.4000,0.000217,0,0,0,100,0.0,100.0,0.0,80.5,1,37.07
CIB-B1-078,D2_Secu,100.0,9.45,15.6000,0.000325,0,0,0,100,0.0,100.0,0.0,70.6,1,35.59
CIB-B1-079,D2_Secu,20.0,9.45,5.5000,0.000115,0,1,0,100,0.0,0.0,0.0,89.9,0,0.00
CIB-B1-080,D2_Secu,100.0,9.45,6.3000,0.000131,0,0,0,100,0.0,100.0,0.0,88.3,1,38.25
CIB-B1-081,D2_Secu,30.0,9.45,11.4000,0.000238,0,1,0,100,0.0,0.0,0.0,78.6,0,0.00
CIB-B1-082,D2_Secu,100.0,9.45,12.9000,0.000269,0,0,0,100,0.0,100.0,0.0,75.7,1,36.35
CIB-B1-083,D2_Secu,100.0,9.45,4.3000,0.000090,0,0,0,100,0.0,100.0,0.0,92.3,1,38.84
CIB-B1-084,D2_Secu,50.0,9.45,20.5000,0.000427,0,0,0,100,0.0,100.0,0.0,61.3,1,34.20
CIB-B1-085,D2_Secu,100.0,9.45,16.2000,0.000338,0,0,0,100,0.0,100.0,0.0,69.4,1,35.41
CIB-B1-086,D2_Secu,100.0,9.45,13.7000,0.000285,0,0,0,100,0.0,100.0,0.0,74.2,1,36.13
CIB-B1-087,D2_Secu,100.0,9.45,8.1000,0.000169,0,0,0,100,0.0,100.0,0.0,84.9,1,37.73
CIB-B1-088,D2_Secu,100.0,9.45,18.5000,0.000385,0,0,0,100,0.0,100.0,0.0,65.1,1,34.76
CIB-B1-089,D2_Secu,100.0,9.45,21.8000,0.000454,0,0,0,100,0.0,100.0,0.0,58.8,1,33.82
CIB-B1-090,D2_Secu,100.0,9.45,14.9000,0.000310,0,0,0,100,0.0,100.0,0.0,71.9,1,35.79
CIB-B1-091,D2_Secu,100.0,9.45,4.4000,0.000092,0,0,0,100,0.0,100.0,0.0,92.1,1,38.81
CIB-B1-092,D2_Secu,100.0,9.45,12.6000,0.000263,0,0,0,100,0.0,100.0,0.0,76.3,1,36.45
CIB-B1-093,D2_Secu,100.0,9.45,9.3000,0.000194,0,0,0,100,0.0,100.0,0.0,82.6,1,37.39
CIB-B1-094,D2_Secu,100.0,9.45,6.2000,0.000129,0,0,0,100,0.0,100.0,0.0,88.5,1,38.28
CIB-B1-095,D2_Secu,45.0,9.45,5.5000,0.000115,0,1,0,100,0.0,0.0,0.0,89.9,0,0.00
CIB-B1-096,D2_Secu,10.0,9.45,8.6000,0.000179,0,1,0,100,0.0,0.0,0.0,83.9,0,0.00
CIB-B1-097,D2_Secu,100.0,9.45,13.5000,0.000281,0,0,0,100,0.0,100.0,0.0,74.6,1,36.19
CIB-B1-098,D2_Secu,100.0,9.45,11.9000,0.000248,0,0,0,100,0.0,100.0,0.0,77.6,1,36.65
CIB-B1-099,D2_Secu,100.0,9.45,5.8000,0.000121,0,0,0,100,0.0,100.0,0.0,89.3,1,38.39
CIB-B1-100,D2_Secu,100.0,9.45,10.8000,0.000225,0,0,0,100,0.0,100.0,0.0,79.7,1,36.96
