id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,B1_Leak,B2_Vuln,B3_License_Risk,B4_A11Y,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-B1-085,D2_Secu,100.0,2.85,30.8524,0.000643,0,0,0,100,0.0,100.0,0.0,97.9,1,39.68
CIB-B1-086,D2_Secu,100.0,2.85,20.3086,0.000423,0,0,0,100,0.0,100.0,0.0,98.6,1,39.79
CIB-B1-087,D2_Secu,20.0,2.85,31.2196,0.000650,0,1,0,100,0.0,0.0,0.0,97.8,0,0.00
CIB-B1-088,D2_Secu,100.0,2.85,31.1223,0.000648,0,0,0,100,0.0,100.0,0.0,97.8,1,39.68
CIB-B1-089,D2_Secu,100.0,2.85,31.3613,0.000653,0,0,0,100,0.0,100.0,0.0,97.8,1,39.67
CIB-B1-090,D2_Secu,20.0,2.85,30.8287,0.000642,0,1,0,100,0.0,0.0,0.0,97.9,0,0.00
CIB-B1-091,D2_Secu,100.0,2.85,31.3334,0.000653,0,0,0,100,0.0,100.0,0.0,97.8,1,39.67
CIB-B1-092,D2_Secu,100.0,2.85,30.8852,0.000643,0,0,0,100,0.0,100.0,0.0,97.9,1,39.68
CIB-B1-093,D2_Secu,100.0,2.85,30.9885,0.000646,0,0,0,100,0.0,100.0,0.0,97.8,1,39.68
CIB-B1-094,D2_Secu,100.0,2.85,31.3545,0.000653,0,0,0,100,0.0,100.0,0.0,97.8,1,39.67
CIB-B1-095,D2_Secu,25.0,2.85,30.7774,0.000641,0,1,0,100,0.0,0.0,0.0,97.9,0,0.00
CIB-B1-096,D2_Secu,10.0,2.85,31.3642,0.000653,0,1,0,100,0.0,0.0,0.0,97.8,0,0.00
CIB-B1-097,D2_Secu,100.0,2.85,31.0510,0.000647,0,0,0,100,0.0,100.0,0.0,97.8,1,39.68
CIB-B1-098,D2_Secu,100.0,2.85,30.9262,0.000644,0,0,0,100,0.0,100.0,0.0,97.9,1,39.68
CIB-B1-099,D2_Secu,100.0,2.85,31.3952,0.000654,0,0,0,100,0.0,100.0,0.0,97.8,1,39.67
CIB-B1-100,D2_Secu,100.0,2.85,30.6164,0.000638,0,0,0,100,0.0,100.0,0.0,97.9,1,39.68
