id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,A1_Functional,A2_Lint,A3_Format,A4_Explainability,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-A1-090,D1_Code,93.0,2.85,10.0527,0.000209,100.0,100.0,100.0,54.7,88.7,100.0,0.0,99.3,1,80.84
CIB-A1-091,D1_Code,88.0,2.85,23.4548,0.000489,0.0,85.0,100.0,53.2,59.5,100.0,0.0,98.4,1,60.49
CIB-A1-092,D1_Code,92.0,2.85,18.3110,0.000381,100.0,100.0,100.0,49.1,87.3,100.0,0.0,98.7,1,80.25
CIB-A1-093,D1_Code,97.0,2.85,11.6262,0.000242,100.0,100.0,100.0,68.0,92.0,100.0,0.0,99.2,1,81.98
CIB-A1-094,D1_Code,95.0,2.85,31.5680,0.000658,100.0,100.0,100.0,57.0,89.2,100.0,0.0,97.8,1,80.79
CIB-A1-095,D1_Code,96.0,2.85,32.1359,0.000670,100.0,100.0,100.0,59.4,89.9,100.0,0.0,97.8,1,81.02
CIB-A1-096,D1_Code,94.0,2.85,19.0876,0.000398,100.0,100.0,100.0,56.6,89.2,100.0,0.0,98.7,1,80.91
CIB-A1-097,D1_Code,89.0,2.85,31.9440,0.000666,0.0,85.0,100.0,57.9,60.7,100.0,0.0,97.8,1,60.83
CIB-A1-098,D1_Code,92.0,2.85,8.6011,0.000179,100.0,100.0,100.0,48.7,87.2,100.0,0.0,99.4,1,80.31
CIB-A1-099,D1_Code,89.0,2.85,31.8508,0.000664,0.0,85.0,100.0,58.2,60.8,100.0,0.0,97.8,1,60.85
CIB-A1-100,D1_Code,91.0,2.85,32.0131,0.000667,0.0,90.0,100.0,65.8,64.0,100.0,0.0,97.8,1,62.06
CIB-A1-101,D1_Code,82.0,2.85,32.9901,0.000687,0.0,80.0,100.0,44.4,56.1,100.0,0.0,97.7,1,59.18
CIB-A1-102,D1_Code,85.0,2.85,12.1289,0.000253,0.0,80.0,100.0,48.0,57.0,100.0,0.0,99.2,1,59.73
CIB-A1-103,D1_Code,93.0,2.85,33.0387,0.000688,100.0,100.0,100.0,55.0,88.8,100.0,0.0,97.7,1,80.66
CIB-A1-104,D1_Code,92.0,2.85,2.6454,0.000055,100.0,100.0,100.0,46.3,86.6,100.0,0.0,99.8,1,80.17
CIB-A1-105,D1_Code,94.0,2.85,9.7555,0.000203,100.0,100.0,100.0,56.5,89.1,100.0,0.0,99.3,1,80.99
CIB-A1-106,D1_Code,88.0,2.85,16.6798,0.000347,0.0,85.0,100.0,53.3,59.6,100.0,0.0,98.8,1,60.56
CIB-A1-107,D1_Code,92.0,2.85,30.6785,0.000639,100.0,100.0,100.0,48.9,87.2,100.0,0.0,97.9,1,80.11
CIB-A1-108,D1_Code,90.0,2.85,16.1528,0.000337,0.0,90.0,100.0,61.9,63.0,100.0,0.0,98.9,1,61.77
CIB-A1-109,D1_Code,87.0,2.85,32.3486,0.000674,0.0,85.0,100.0,51.9,59.2,100.0,0.0,97.7,1,60.30
CIB-A1-110,D1_Code,91.0,2.85,12.3046,0.000256,0.0,90.0,100.0,64.5,63.6,100.0,0.0,99.1,1,62.03
CIB-A1-111,D1_Code,94.0,2.85,12.9213,0.000269,100.0,100.0,100.0,56.4,89.1,100.0,0.0,99.1,1,80.95
CIB-A1-112,D1_Code,95.0,2.85,8.4124,0.000175,100.0,100.0,100.0,59.0,89.7,100.0,0.0,99.4,1,81.21
CIB-A1-113,D1_Code,97.0,2.85,6.7839,0.000141,100.0,100.0,100.0,67.1,91.8,100.0,0.0,99.5,1,81.95
CIB-A1-114,D1_Code,96.0,2.85,9.5089,0.000198,100.0,100.0,100.0,64.8,91.2,100.0,0.0,99.3,1,81.72
CIB-A1-115,D1_Code,83.0,2.85,15.4694,0.000322,0.0,80.0,100.0,44.9,56.2,100.0,0.0,98.9,1,59.41
CIB-A1-116,D1_Code,95.0,2.85,10.6768,0.000222,100.0,100.0,100.0,57.5,89.4,100.0,0.0,99.3,1,81.08
CIB-A1-117,D1_Code,82.0,2.85,32.9228,0.000686,0.0,80.0,100.0,44.6,56.1,100.0,0.0,97.7,1,59.18
CIB-A1-118,D1_Code,87.0,2.85,32.3229,0.000673,0.0,85.0,100.0,52.2,59.3,100.0,0.0,97.7,1,60.32
CIB-A1-119,D1_Code,91.0,2.85,18.5945,0.000387,100.0,100.0,100.0,42.4,85.6,100.0,0.0,98.7,1,79.66
CIB-A1-120,D1_Code,88.0,2.85,18.6192,0.000388,0.0,85.0,100.0,52.4,59.3,100.0,0.0,98.7,1,60.47
CIB-A1-121,D1_Code,96.0,2.85,21.4591,0.000447,100.0,100.0,100.0,63.4,90.8,100.0,0.0,98.5,1,81.47
CIB-A1-122,D1_Code,94.0,2.85,20.2393,0.000422,100.0,100.0,100.0,56.9,89.2,100.0,0.0,98.6,1,80.91
CIB-A1-123,D1_Code,93.0,2.85,10.8899,0.000227,100.0,100.0,100.0,56.3,89.1,100.0,0.0,99.2,1,80.97
CIB-A1-124,D1_Code,87.0,2.85,28.4633,0.000593,0.0,85.0,100.0,51.3,59.1,100.0,0.0,98.0,1,60.27
CIB-A1-125,D1_Code,93.0,2.85,4.2258,0.000088,100.0,100.0,100.0,48.0,87.0,100.0,0.0,99.7,1,80.30
CIB-A1-126,D1_Code,88.0,2.85,31.5207,0.000657,0.0,85.0,100.0,52.9,59.5,100.0,0.0,97.8,1,60.41
CIB-A1-127,D1_Code,96.0,2.85,16.4060,0.000342,100.0,100.0,100.0,64.5,91.1,100.0,0.0,98.9,1,81.63
CIB-A1-128,D1_Code,92.0,2.85,31.4741,0.000656,100.0,100.0,100.0,54.9,88.7,100.0,0.0,97.8,1,80.64
CIB-A1-129,D1_Code,89.0,2.85,12.5038,0.000260,0.0,85.0,100.0,57.6,60.6,100.0,0.0,99.1,1,60.99
CIB-A1-130,D1_Code,87.0,2.85,15.5552,0.000324,0.0,85.0,100.0,52.2,59.3,100.0,0.0,98.9,1,60.50
CIB-A1-131,D1_Code,94.0,2.85,14.8587,0.000310,100.0,100.0,100.0,58.8,89.7,100.0,0.0,99.0,1,81.14
CIB-A1-132,D1_Code,95.0,2.85,20.9450,0.000436,100.0,100.0,100.0,60.0,90.0,100.0,0.0,98.5,1,81.20
CIB-A1-133,D1_Code,80.0,2.85,28.3796,0.000591,0.0,70.0,100.0,16.4,46.6,100.0,0.0,98.0,1,55.93
CIB-A1-134,D1_Code,94.0,2.85,18.1267,0.000378,100.0,100.0,100.0,59.3,89.8,100.0,0.0,98.7,1,81.16
CIB-A1-135,D1_Code,93.0,2.85,17.6702,0.000368,100.0,100.0,100.0,57.2,89.3,100.0,0.0,98.8,1,80.97
CIB-A1-136,D1_Code,91.0,2.85,32.2342,0.000672,0.0,90.0,100.0,65.1,63.8,100.0,0.0,97.7,1,62.00
CIB-A1-137,D1_Code,88.0,2.85,17.2036,0.000358,0.0,85.0,100.0,51.8,59.2,100.0,0.0,98.8,1,60.43
CIB-A1-138,D1_Code,92.0,2.85,13.4830,0.000281,0.0,90.0,100.0,64.1,63.5,100.0,0.0,99.1,1,62.00
CIB-A1-139,D1_Code,93.0,2.85,26.3130,0.000548,100.0,100.0,100.0,55.4,88.9,100.0,0.0,98.2,1,80.73
CIB-A1-140,D1_Code,97.0,2.85,6.3522,0.000132,100.0,100.0,100.0,66.8,91.7,100.0,0.0,99.6,1,81.93
CIB-A1-141,D1_Code,85.0,2.85,15.2066,0.000317,0.0,80.0,100.0,46.0,56.5,100.0,0.0,98.9,1,59.34
CIB-A1-142,D1_Code,91.0,2.85,33.4858,0.000698,100.0,100.0,100.0,47.6,86.9,100.0,0.0,97.7,1,80.00
CIB-A1-143,D1_Code,95.0,2.85,33.0371,0.000688,100.0,100.0,100.0,62.1,90.5,100.0,0.0,97.7,1,81.26
CIB-A1-144,D1_Code,88.0,2.85,27.4544,0.000572,0.0,85.0,100.0,53.7,59.7,100.0,0.0,98.1,1,60.51
CIB-A1-145,D1_Code,86.0,2.85,32.1085,0.000669,0.0,85.0,100.0,46.8,57.9,100.0,0.0,97.8,1,59.85
CIB-A1-146,D1_Code,94.0,2.85,6.5459,0.000136,100.0,100.0,100.0,57.2,89.3,100.0,0.0,99.5,1,81.08
CIB-A1-147,D1_Code,92.0,2.85,32.5983,0.000679,100.0,100.0,100.0,53.3,88.3,100.0,0.0,97.7,1,80.48
CIB-A1-148,D1_Code,80.0,2.85,26.4855,0.000552,0.0,80.0,100.0,32.4,53.1,100.0,0.0,98.1,1,58.21
CIB-A1-149,D1_Code,93.0,2.85,19.0901,0.000398,100.0,100.0,100.0,56.2,89.0,100.0,0.0,98.7,1,80.86
CIB-A1-150,D1_Code,87.0,2.85,31.5883,0.000658,0.0,85.0,100.0,49.0,58.5,100.0,0.0,97.8,1,60.05
